AAAABBBBCCCCDDDD||......., 0
....BCBD..AAAACC||CDDBB.D, 10000000
....BCBD.BAA.ACC||CDD.BAD, 10000000
....BCBD.BAAAACC||CDD.B.D, 10000000
....BCBD.BAA.ACC||CD.DBAD, 10000000
....BCBD.BAAAACC||CD.DB.D, 10000000
....BCBDDBAA.ACC||CD..BAD, 10000000
....BCBDDBAAAACC||CD..B.D, 10000000
......BD.BAAAACC||CDCBDBD, 10000000
......BDDBAA.ACC||CDCBABD, 10000000
......BDDBAAAACC||CDCB.BD, 10000000
.....CBD.BAAAACC||CD.BDBD, 10000000
.....CBDDBAA.ACC||CD.BABD, 10000000
.....CBDDBAAAACC||CD.B.BD, 10000000
.......DDBAAAACC||CDCBBBD, 10000000
......BD.BAAAACC||CDCDBBD, 10000000
......BDDBAAAACC||CDC.BBD, 10000000
.......DDBAAAACC||CDBCBBD, 10000000
......BDDBAAAACC||CD.CBBD, 10000000
......BD.BAAAACC||CDDCBBD, 10000000
.....CBD..AAAACC||CDDBBBD, 10000000
.....CBD.BAAAACC||CDD.BBD, 10000000
.....CBD.BAAAACC||CD.DBBD, 10000000
.....CBDDBAAAACC||CD..BBD, 10000000
.....CBD.BAA.ACC||CDDBABD, 10000000
.....CBD.BAAAACC||CDDB.BD, 10000000
....BCBD...AAACC||CDDBABD, 10000000
....BCBD..AA.ACC||CDDBABD, 10000000
....BCBD..AAAACC||CDDB.BD, 10000000
....BCBD...AAACC||CDDABBD, 10000000
....BCBD..AAAACC||CDD.BBD, 10000000
....BCBD..AA.ACC||CDDABBD, 10000000
....BCBD.BAA..CC||CDDAABD, 10000000
....BCBD.BAA.ACC||CDDA.BD, 10000000
....BCBD.BAA.ACC||CDD.ABD, 10000000
....BCBD.BAAAACC||CDD..BD, 10000000
....BCBD..AAAACC||CD.DBBD, 10000000
....BCBD.BAA.ACC||CD.DABD, 10000000
....BCBD.BAAAACC||CD.D.BD, 10000000
....BCBD...AAACC||CDBADBD, 10000000
....BCBD..AAAACC||CDB.DBD, 10000000
....BCBD..AAAACC||CD.BDBD, 10000000
....BCBD.BAAAACC||CD..DBD, 10000000
...A..BD.BAA.ACC||CDBCDBD, 10000000
...A..BDDBAA..CC||CDBCABD, 10000000
...A..BDDBAA.ACC||CDBC.BD, 10000000
...A...DDBAA.ACC||CDBBCBD, 10000000
...A..BD.BAA.ACC||CDBDCBD, 10000000
...A..BDDBAA.ACC||CDB.CBD, 10000000
...A.CBD..AA.ACC||CDBDBBD, 10000000
...A.CBD.BAA..CC||CDBDABD, 10000000
...A.CBD.BAA.ACC||CDBD.BD, 10000000
...A.CBD..AA.ACC||CDBBDBD, 10000000
...A.CBD.BAA.ACC||CDB.DBD, 10000000
...A.CBD.BAA..CC||CDBADBD, 10000000
...A.CBDDBAA...C||CDBACBD, 10000000
...A.CBDDBAA..CC||CDBA.BD, 10000000
...A.CBDDBAA..CC||CDB.ABD, 10000000
...A.CBDDBAA.ACC||CDB..BD, 10000000
...A..BD.BAA.ACC||CDCBDBD, 10000000
...A..BDDBAA..CC||CDCBABD, 10000000
...A..BDDBAA.ACC||CDCB.BD, 10000000
...A.CBD.BAA.ACC||CD.BDBD, 10000000
...A.CBDDBAA..CC||CD.BABD, 10000000
...A.CBDDBAA.ACC||CD.B.BD, 10000000
...A...DDBAA.ACC||CDCBBBD, 10000000
...A..BD.BAA.ACC||CDCDBBD, 10000000
...A..BDDBAA.ACC||CDC.BBD, 10000000
...A...DDBAA.ACC||CDBCBBD, 10000000
...A..BDDBAA.ACC||CD.CBBD, 10000000
...A..BD.BAA.ACC||CDDCBBD, 10000000
...A.CBD..AA.ACC||CDDBBBD, 10000000
...A.CBD.BAA.ACC||CDD.BBD, 10000000
...A.CBD.BAA.ACC||CD.DBBD, 10000000
...A.CBDDBAA.ACC||CD..BBD, 10000000
...A.CBD.BAA..CC||CDDBABD, 10000000
...A.CBD.BAA.ACC||CDDB.BD, 10000000
...ABCBD...A.ACC||CDDBABD, 10000000
...ABCBD..AA..CC||CDDBABD, 10000000
...ABCBD..AA.ACC||CDDB.BD, 10000000
...ABCBD...A.ACC||CDDABBD, 10000000
...ABCBD..AA.ACC||CDD.BBD, 10000000
...ABCBD..AA..CC||CDDABBD, 10000000
...ABCBD.BAA...C||CDDACBD, 10000000
...ABCBD.BAA..CC||CDDA.BD, 10000000
...ABCBD.BAA..CC||CDD.ABD, 10000000
...ABCBD.BAA.ACC||CDD..BD, 10000000
...ABCBD..AA.ACC||CD.DBBD, 10000000
...ABCBD.BAA..CC||CD.DABD, 10000000
...ABCBD.BAA.ACC||CD.D.BD, 10000000
...ABCBD...A.ACC||CDBADBD, 10000000
...ABCBD..AA.ACC||CDB.DBD, 10000000
...ABCBD..AA.ACC||CD.BDBD, 10000000
...ABCBD.BAA.ACC||CD..DBD, 10000000
..AA..BD.BAA..CC||CDBCDBD, 10000000
..AA..BDDBAA...C||CDBCCBD, 10000000
..AA..BDDBAA..CC||CDBC.BD, 10000000
..AA...DDBAA..CC||CDBBCBD, 10000000
..AA..BD.BAA..CC||CDBDCBD, 10000000
..AA..BDDBAA..CC||CDB.CBD, 10000000
..AA.CBD..AA..CC||CDBDBBD, 10000000
..AA.CBD.BAA...C||CDBDCBD, 10000000
..AA.CBD.BAA..CC||CDBD.BD, 10000000
..AA.CBD..AA..CC||CDBBDBD, 10000000
..AA.CBD.BAA..CC||CDB.DBD, 10000000
..AA.CBD.BAA...C||CDBCDBD, 10000000
..AA.CBDDBAA....||CDBCCBD, 10000000
..AA.CBDDBAA...C||CDBC.BD, 10000000
..AA.CBDDBAA...C||CDB.CBD, 10000000
..AA.CBDDBAA..CC||CDB..BD, 10000000
..AA..BD.BAA..CC||CDCBDBD, 10000000
..AA..BDDBAA...C||CDCBCBD, 10000000
..AA..BDDBAA..CC||CDCB.BD, 10000000
..AA.CBD.BAA..CC||CD.BDBD, 10000000
..AA.CBDDBAA...C||CD.BCBD, 10000000
..AA.CBDDBAA..CC||CD.B.BD, 10000000
..AA...DDBAA..CC||CDCBBBD, 10000000
..AA..BD.BAA..CC||CDCDBBD, 10000000
..AA..BDDBAA..CC||CDC.BBD, 10000000
..AA...DDBAA..CC||CDBCBBD, 10000000
..AA..BDDBAA..CC||CD.CBBD, 10000000
..AA..BD.BAA..CC||CDDCBBD, 10000000
..AA.CBD..AA..CC||CDDBBBD, 10000000
..AA.CBD.BAA..CC||CDD.BBD, 10000000
..AA.CBD.BAA..CC||CD.DBBD, 10000000
..AA.CBDDBAA..CC||CD..BBD, 10000000
..AA.CBD.BAA...C||CDDBCBD, 10000000
..AA.CBD.BAA..CC||CDDB.BD, 10000000
..AABCBD...A..CC||CDDBABD, 10000000
..AABCBD..AA...C||CDDBCBD, 10000000
..AABCBD..AA..CC||CDDB.BD, 10000000
..AABCBD...A..CC||CDDABBD, 10000000
..AABCBD..AA..CC||CDD.BBD, 10000000
..AABCBD..AA...C||CDDCBBD, 10000000
..AABCBD.BAA....||CDDCCBD, 10000000
..AABCBD.BAA...C||CDDC.BD, 10000000
..AABCBD.BAA...C||CDD.CBD, 10000000
..AABCBD.BAA..CC||CDD..BD, 10000000
..AABCBD..AA..CC||CD.DBBD, 10000000
..AABCBD.BAA...C||CD.DCBD, 10000000
..AABCBD.BAA..CC||CD.D.BD, 10000000
..AABCBD...A..CC||CDBADBD, 10000000
..AABCBD..AA..CC||CDB.DBD, 10000000
..AABCBD..AA..CC||CD.BDBD, 10000000
..AABCBD.BAA..CC||CD..DBD, 10000000
..AA.CBD.BAA...C||CDCBDBD, 10000000
..AA.CBDDBAA....||CDCBCBD, 10000000
..AA.CBDDBAA...C||CDCB.BD, 10000000
..AA..BDDBAA...C||CDCCBBD, 10000000
..AA.CBD.BAA...C||CDCDBBD, 10000000
..AA.CBDDBAA...C||CDC.BBD, 10000000
..AABCBD..AA...C||CDCDBBD, 10000000
..AABCBD.BAA....||CDCDCBD, 10000000
..AABCBD.BAA...C||CDCD.BD, 10000000
..AABCBD..AA...C||CDCBDBD, 10000000
..AABCBD.BAA...C||CDC.DBD, 10000000
..AABCBD..AA...D||CDCCBBD, 10000000
..AABCBD.BAA...D||CDCC.BD, 10000000
..AABCBDDBAA....||CDCC.BD, 10000000
..AABCBDDBAA....||CDC.CBD, 10000000
..AABCBDDBAA...C||CDC..BD, 10000000
..AABCBD.BAA...C||CD.CDBD, 10000000
..AABCBDDBAA....||CD.CCBD, 10000000
..AABCBDDBAA...C||CD.C.BD, 10000000
..AABCBDDBAA...C||CD..CBD, 10000000
..AABCBDDBAA..CC||CD...BD, 10000000
...ABCBDDBAA.ACC||CD...BD, 10000000
....BCBDDBAAAACC||CD...BD, 10000000
...B..BD.BAA.ACC||CDBCDAD, 10000000
...B..BD.BAAAACC||CDBCD.D, 10000000
...B..BD..AAAACC||CDBCBDD, 10000000
...B..BD.BAA.ACC||CDBCADD, 10000000
...B..BD.BAAAACC||CDBC.DD, 10000000
...B..BDDBAA..CC||CDBCAAD, 10000000
...B..BDDBAA.ACC||CDBCA.D, 10000000
...B..BDDBAA.ACC||CDBC.AD, 10000000
...B..BDDBAAAACC||CDBC..D, 10000000
...B...DDBAA.ACC||CDBBCAD, 10000000
...B...DDBAAAACC||CDBBC.D, 10000000
...B..BD.BAA.ACC||CDBDCAD, 10000000
...B..BD.BAAAACC||CDBDC.D, 10000000
...B..BDDBAA.ACC||CDB.CAD, 10000000
...B..BDDBAAAACC||CDB.C.D, 10000000
...B...D.BAAAACC||CDBBDCD, 10000000
...B...DDBAA.ACC||CDBBACD, 10000000
...B...DDBAAAACC||CDBB.CD, 10000000
......BBDBAAAACC||CD.DBCD, 10000000
...B...BDBAAAACC||CD.DBCD, 10000000
...B....DBAAAACC||CDBDBCD, 10000000
...B...D.BAAAACC||CDBDBCD, 10000000
...B...DDBAAAACC||CDB.BCD, 10000000
...B..BD..AAAACC||CDBDBCD, 10000000
...B..BD.BAA.ACC||CDBDACD, 10000000
...B..BD.BAAAACC||CDBD.CD, 10000000
...B..BD..AAAACC||CDBBDCD, 10000000
...B..BD.BAAAACC||CDB.DCD, 10000000
...B..BD.BAA.ACC||CDBADCD, 10000000
...B..BDDBAA..CC||CDBAACD, 10000000
...B..BDDBAA.ACC||CDBA.CD, 10000000
...B..BDDBAA.ACC||CDB.ACD, 10000000
...B..BDDBAAAACC||CDB..CD, 10000000
...B.CBD..AA.ACC||CDBBDAD, 10000000
...B.CBD..AAAACC||CDBBD.D, 10000000
...B.CBD.BAA.ACC||CDB.DAD, 10000000
...B.CBD.BAAAACC||CDB.D.D, 10000000
...B...D.BAAAACC||CDBBCDD, 10000000
...B..BD..AAAACC||CDBBCDD, 10000000
...B..BD.BAAAACC||CDB.CDD, 10000000
...B.CBD...AAACC||CDBBADD, 10000000
...B.CBD..AA.ACC||CDBBADD, 10000000
...B.CBD..AAAACC||CDBB.DD, 10000000
...B.CBD...AAACC||CDBABDD, 10000000
...B.CBD..AAAACC||CDB.BDD, 10000000
...B.CBD..AA.ACC||CDBABDD, 10000000
...B.CBD.BAA..CC||CDBAADD, 10000000
...B.CBD.BAA.ACC||CDBA.DD, 10000000
...B.CBD.BAA.ACC||CDB.ADD, 10000000
...B.CBD.BAAAACC||CDB..DD, 10000000
...B.CBD.BAA..CC||CDBADAD, 10000000
...B.CBD.BAA.ACC||CDBAD.D, 10000000
...B.CBDDBAA...C||CDBAACD, 10000000
...B.CBDDBAA..CC||CDBAA.D, 10000000
...B.CBDDBAA...C||CDBACAD, 10000000
...B.CBDDBAA..CC||CDBA.AD, 10000000
...B.CBDDBAA.ACC||CDBA..D, 10000000
...B.CBDDBAA..CC||CDB.AAD, 10000000
...B.CBDDBAA.ACC||CDB.A.D, 10000000
...B.CBDDBAA.ACC||CDB..AD, 10000000
...B.CBDDBAAAACC||CDB...D, 10000000
...B..BD.BAA.ACC||CDCBDAD, 10000000
...B..BD.BAAAACC||CDCBD.D, 10000000
...B..BD..AAAACC||CDCBBDD, 10000000
...B..BD.BAA.ACC||CDCBADD, 10000000
...B..BD.BAAAACC||CDCB.DD, 10000000
...B..BDDBAA..CC||CDCBAAD, 10000000
...B..BDDBAA.ACC||CDCBA.D, 10000000
...B..BDDBAA.ACC||CDCB.AD, 10000000
...B..BDDBAAAACC||CDCB..D, 10000000
...B.CBD.BAA.ACC||CD.BDAD, 10000000
...B.CBD.BAAAACC||CD.BD.D, 10000000
...B.CBD..AAAACC||CD.BBDD, 10000000
...B.CBD.BAA.ACC||CD.BADD, 10000000
...B.CBD.BAAAACC||CD.B.DD, 10000000
...B.CBDDBAA..CC||CD.BAAD, 10000000
...B.CBDDBAA.ACC||CD.BA.D, 10000000
...B.CBDDBAA.ACC||CD.B.AD, 10000000
...B.CBDDBAAAACC||CD.B..D, 10000000
...B...DDBAA.ACC||CDCBBAD, 10000000
...B...DDBAAAACC||CDCBB.D, 10000000
...B..BD.BAA.ACC||CDCDBAD, 10000000
...B..BD.BAAAACC||CDCDB.D, 10000000
...B..BDDBAA.ACC||CDC.BAD, 10000000
...B..BDDBAAAACC||CDC.B.D, 10000000
...B...DDBAA.ACC||CDBCBAD, 10000000
...B...DDBAAAACC||CDBCB.D, 10000000
...B..BDDBAA.ACC||CD.CBAD, 10000000
...B..BDDBAAAACC||CD.CB.D, 10000000
...B.CBD.BAA.ACC||CD.DBAD, 10000000
...B.CBD.BAAAACC||CD.DB.D, 10000000
...B.CBDDBAA.ACC||CD..BAD, 10000000
...B.CBDDBAAAACC||CD..B.D, 10000000
...B...D.BAAAACC||CDCBDBD, 10000000
...B...DDBAA.ACC||CDCBABD, 10000000
...B...DDBAAAACC||CDCB.BD, 10000000
...B....DBAAAACC||CDCDBBD, 10000000
...B...D.BAAAACC||CDCDBBD, 10000000
...B...DDBAAAACC||CDC.BBD, 10000000
...B..BD..AAAACC||CDCDBBD, 10000000
...B..BD.BAA.ACC||CDCDABD, 10000000
...B..BD.BAAAACC||CDCD.BD, 10000000
...B..BD..AAAACC||CDCBDBD, 10000000
...B..BD.BAAAACC||CDC.DBD, 10000000
...B..BD.BAA.ACC||CDCADBD, 10000000
...B..BDDBAA..CC||CDCAABD, 10000000
...B..BDDBAA.ACC||CDCA.BD, 10000000
...B..BDDBAA.ACC||CDC.ABD, 10000000
...B..BDDBAAAACC||CDC..BD, 10000000
...B...D.BAAAACC||CDBCDBD, 10000000
...B...DDBAA.ACC||CDBCABD, 10000000
...B...DDBAAAACC||CDBC.BD, 10000000
...B..BD.BAAAACC||CD.CDBD, 10000000
...B..BDDBAA.ACC||CD.CABD, 10000000
...B..BDDBAAAACC||CD.C.BD, 10000000
......BDDBAAAACC||CD.BCBD, 10000000
......BBDBAAAACC||CD.DCBD, 10000000
...B...BDBAAAACC||CD.DCBD, 10000000
...B....DBAAAACC||CDBDCBD, 10000000
...B...D.BAAAACC||CDBDCBD, 10000000
...B...DDBAAAACC||CDB.CBD, 10000000
...B...B.BAAAACC||CDDDCBD, 10000000
...B...BDBAAAACC||CDD.CBD, 10000000
...B....DBAAAACC||CDDBCBD, 10000000
...B...DDBAAAACC||CD.BCBD, 10000000
...B..BD.BAAAACC||CD.DCBD, 10000000
...B..BDDBAAAACC||CD..CBD, 10000000
...B.CBD..AAAACC||CD.DBBD, 10000000
...B.CBD.BAA.ACC||CD.DABD, 10000000
...B.CBD.BAAAACC||CD.D.BD, 10000000
...B..BD..AAAACC||CDBCDBD, 10000000
...B.CBD...AAACC||CDBADBD, 10000000
...B.CBD..AAAACC||CDB.DBD, 10000000
...B.CBD..AAAACC||CD.BDBD, 10000000
...B.CBD.BAAAACC||CD..DBD, 10000000
...B..BD.BAA.ACC||CDACDBD, 10000000
...B..BDDBAA..CC||CDACABD, 10000000
...B..BDDBAA.ACC||CDAC.BD, 10000000
...B...DDBAA.ACC||CDABCBD, 10000000
...B..BD.BAA.ACC||CDADCBD, 10000000
...B..BDDBAA.ACC||CDA.CBD, 10000000
...B.CBD..AA.ACC||CDADBBD, 10000000
...B.CBD.BAA..CC||CDADABD, 10000000
...B.CBD.BAA.ACC||CDAD.BD, 10000000
...B.CBD..AA.ACC||CDABDBD, 10000000
...B.CBD.BAA.ACC||CDA.DBD, 10000000
...B.CBD.BAA..CC||CDAADBD, 10000000
...B.CBDDBAA...C||CDAACBD, 10000000
...B.CBDDBAA..CC||CDAA.BD, 10000000
...B.CBDDBAA..CC||CDA.ABD, 10000000
...B.CBDDBAA.ACC||CDA..BD, 10000000
...B.CBD.BAA.ACC||CD.ADBD, 10000000
...B.CBDDBAA..CC||CD.AABD, 10000000
...B.CBDDBAA.ACC||CD.A.BD, 10000000
...B.CBDDBAA.ACC||CD..ABD, 10000000
...B.CBDDBAAAACC||CD...BD, 10000000
...BBCBD...A.ACC||CDBADAD, 10000000
...BBCBD...AAACC||CDBAD.D, 10000000
...BBCBD..AA.ACC||CDB.DAD, 10000000
...BBCBD..AAAACC||CDB.D.D, 10000000
...BBCBD..AA.ACC||CD.BDAD, 10000000
...BBCBD..AAAACC||CD.BD.D, 10000000
...BBCBD.BAA.ACC||CD..DAD, 10000000
...BBCBD.BAAAACC||CD..D.D, 10000000
......BD.BAAAACC||CDCBBDD, 10000000
.....CBD.BAAAACC||CD.BBDD, 10000000
....BCBD.BAAAACC||CD..BDD, 10000000
...B...D.BAAAACC||CDCBBDD, 10000000
...B..BD.BAAAACC||CDC.BDD, 10000000
...B...D.BAAAACC||CDBCBDD, 10000000
...B..BD.BAAAACC||CD.CBDD, 10000000
...B.CBD.BAAAACC||CD..BDD, 10000000
...BBCBD....AACC||CDBAADD, 10000000
...BBCBD...A.ACC||CDBAADD, 10000000
...BBCBD...AAACC||CDBA.DD, 10000000
...BBCBD...AAACC||CDB.ADD, 10000000
...BBCBD..AA..CC||CDBAADD, 10000000
...BBCBD..AA.ACC||CDBA.DD, 10000000
...BBCBD..AA.ACC||CDB.ADD, 10000000
...BBCBD..AAAACC||CDB..DD, 10000000
...BBCBD...AAACC||CD.BADD, 10000000
...BBCBD..AA.ACC||CD.BADD, 10000000
...BBCBD..AAAACC||CD.B.DD, 10000000
...B.CBD...AAACC||CDABBDD, 10000000
...BBCBD....AACC||CDAABDD, 10000000
...BBCBD...AAACC||CDA.BDD, 10000000
...BBCBD...AAACC||CD.ABDD, 10000000
...BBCBD..AAAACC||CD..BDD, 10000000
...B.CBD..AA.ACC||CDABBDD, 10000000
...B.CBD.BAA..CC||CDABADD, 10000000
...B.CBD.BAA.ACC||CDAB.DD, 10000000
...B..BD.BAA.ACC||CDACBDD, 10000000
...B.CBD.BAA.ACC||CDA.BDD, 10000000
...BBCBD...A.ACC||CDABADD, 10000000
...BBCBD..AA..CC||CDABADD, 10000000
...BBCBD..AA.ACC||CDAB.DD, 10000000
...BBCBD...A.ACC||CDAABDD, 10000000
...BBCBD..AA.ACC||CDA.BDD, 10000000
...BBCBD..AA..CC||CDAABDD, 10000000
...BBCBD.BAA...C||CDAACDD, 10000000
...BBCBD.BAA..CC||CDAA.DD, 10000000
...BBCBD.BAA..CC||CDA.ADD, 10000000
...BBCBD.BAA.ACC||CDA..DD, 10000000
...BBCBD..AA.ACC||CD.ABDD, 10000000
...BBCBD.BAA..CC||CD.AADD, 10000000
...BBCBD.BAA.ACC||CD.A.DD, 10000000
...BBCBD.BAA.ACC||CD..ADD, 10000000
...BBCBD.BAAAACC||CD...DD, 10000000
...B.CBD.BAA..CC||CDABDAD, 10000000
...B.CBD.BAA.ACC||CDABD.D, 10000000
...B.CBDDBAA...C||CDABACD, 10000000
...B.CBDDBAA..CC||CDABA.D, 10000000
...B.CBDDBAA...C||CDABCAD, 10000000
...B.CBDDBAA..CC||CDAB.AD, 10000000
...B.CBDDBAA.ACC||CDAB..D, 10000000
...B..BDDBAA..CC||CDACBAD, 10000000
...B..BDDBAA.ACC||CDACB.D, 10000000
...B.CBD.BAA..CC||CDADBAD, 10000000
...B.CBD.BAA.ACC||CDADB.D, 10000000
...B.CBDDBAA..CC||CDA.BAD, 10000000
...B.CBDDBAA.ACC||CDA.B.D, 10000000
...BBCBD..AA..CC||CDADBAD, 10000000
...BBCBD..AA.ACC||CDADB.D, 10000000
...BBCBD...A.ACC||CDADABD, 10000000
...BBCBD..AA..CC||CDADABD, 10000000
...BBCBD..AA.ACC||CDAD.BD, 10000000
...BBCBD.BAA...C||CDADACD, 10000000
...BBCBD.BAA..CC||CDADA.D, 10000000
...BBCBD.BAA...C||CDADCAD, 10000000
...BBCBD.BAA..CC||CDAD.AD, 10000000
...BBCBD.BAA.ACC||CDAD..D, 10000000
...BBCBD..AA..CC||CDABDAD, 10000000
...BBCBD..AA.ACC||CDABD.D, 10000000
...BBCBD.BAA..CC||CDA.DAD, 10000000
...BBCBD.BAA.ACC||CDA.D.D, 10000000
...BBCBD.BAA...C||CDAADCD, 10000000
...BBCBD.BAA..CC||CDAAD.D, 10000000
...BBCBDDBAA....||CDAACCD, 10000000
...BBCBDDBAA...C||CDAAC.D, 10000000
...BBCBDDBAA...C||CDAA.CD, 10000000
...BBCBDDBAA..CC||CDAA..D, 10000000
...BBCBDDBAA...C||CDA.ACD, 10000000
...BBCBDDBAA..CC||CDA.A.D, 10000000
...BBCBD.BAA...C||CDACDAD, 10000000
...BBCBDDBAA....||CDACCAD, 10000000
...BBCBDDBAA...C||CDAC.AD, 10000000
...BBCBDDBAA...C||CDA.CAD, 10000000
...BBCBDDBAA..CC||CDA..AD, 10000000
...BBCBDDBAA.ACC||CDA...D, 10000000
...BBCBD.BAA..CC||CD.ADAD, 10000000
...BBCBD.BAA.ACC||CD.AD.D, 10000000
...BBCBDDBAA...C||CD.AACD, 10000000
...BBCBDDBAA..CC||CD.AA.D, 10000000
...BBCBDDBAA...C||CD.ACAD, 10000000
...BBCBDDBAA..CC||CD.A.AD, 10000000
...BBCBDDBAA.ACC||CD.A..D, 10000000
...BBCBDDBAA..CC||CD..AAD, 10000000
...BBCBDDBAA.ACC||CD..A.D, 10000000
...BBCBDDBAA.ACC||CD...AD, 10000000
...BBCBDDBAAAACC||CD....D, 10000000
..DB..BD.BAA.ACC||CDBCDA., 10000000
..DB..BD.BAA..CC||CDBCDAA, 10000000
..DB..BD.BAA.ACC||CDBCD.A, 10000000
..DB..BD.BAAAACC||CDBCD.., 10000000
..DB..BD..AAAACC||CDBCBD., 10000000
..DB..BD.BAA.ACC||CDBCAD., 10000000
..DB..BD.BAAAACC||CDBC.D., 10000000
..DB..BD..AA.ACC||CDBCBAD, 10000000
..DB..BD..AAAACC||CDBCB.D, 10000000
..DB..BD...AAACC||CDBCABD, 10000000
..DB..BD..AA.ACC||CDBCABD, 10000000
..DB..BD..AAAACC||CDBC.BD, 10000000
..DB..BD.BAA..CC||CDBCAAD, 10000000
..DB..BD.BAA.ACC||CDBCA.D, 10000000
..DB..BD.BAA.ACC||CDBC.AD, 10000000
..DB..BD.BAAAACC||CDBC..D, 10000000
..DB..BDDBAA..CC||CDBCAA., 10000000
..DB..BDDBAA...C||CDBCACA, 10000000
..DB..BDDBAA..CC||CDBCA.A, 10000000
..DB..BDDBAA.ACC||CDBCA.., 10000000
..DB..BDDBAA.ACC||CDBC.A., 10000000
..DB..BD..AA.ACC||CDBCBDA, 10000000
..DB..BD.BAA..CC||CDBCADA, 10000000
..DB..BD.BAA.ACC||CDBC.DA, 10000000
..DB..BDDBAA...C||CDBCCAA, 10000000
..DB..BDDBAA..CC||CDBC.AA, 10000000
..DB..BDDBAA.ACC||CDBC..A, 10000000
..DB..BDDBAAAACC||CDBC..., 10000000
..DB...DDBAA.ACC||CDBBCA., 10000000
..DB...DDBAA..CC||CDBBCAA, 10000000
..DB...DDBAA.ACC||CDBBC.A, 10000000
..DB...DDBAAAACC||CDBBC.., 10000000
..DB..BD.BAA.ACC||CDBDCA., 10000000
..DB..BD.BAA..CC||CDBDCAA, 10000000
..DB..BD.BAA.ACC||CDBDC.A, 10000000
..DB..BD.BAAAACC||CDBDC.., 10000000
..DB..BDDBAA.ACC||CDB.CA., 10000000
..DB..BDDBAA..CC||CDB.CAA, 10000000
..DB..BDDBAA.ACC||CDB.C.A, 10000000
..DB..BDDBAAAACC||CDB.C.., 10000000
..DB...D.BAAAACC||CDBBDC., 10000000
..DB...DDBAA.ACC||CDBBAC., 10000000
..DB...DDBAAAACC||CDBB.C., 10000000
...B...BDBAAAACC||CDDDBC., 10000000
..DB...BDBAAAACC||CD.DBC., 10000000
..DB....DBAAAACC||CDBDBC., 10000000
..DB...D.BAAAACC||CDBDBC., 10000000
..DB...DDBAAAACC||CDB.BC., 10000000
..DB..BD..AAAACC||CDBDBC., 10000000
..DB..BD.BAA.ACC||CDBDAC., 10000000
..DB..BD.BAAAACC||CDBD.C., 10000000
..DB..BD..AAAACC||CDBBDC., 10000000
..DB..BD.BAAAACC||CDB.DC., 10000000
..DB..BD.BAA.ACC||CDBADC., 10000000
..DB..BDDBAA..CC||CDBAAC., 10000000
..DB..BDDBAA.ACC||CDBA.C., 10000000
..DB..BDDBAA.ACC||CDB.AC., 10000000
..DB..BDDBAAAACC||CDB..C., 10000000
..DB...D.BAA.ACC||CDBBDAC, 10000000
..DB...D.BAAAACC||CDBBD.C, 10000000
..DB...D..AAAACC||CDBBBDC, 10000000
..DB...D.BAA.ACC||CDBBADC, 10000000
..DB...D.BAAAACC||CDBB.DC, 10000000
..DB...DDBAA..CC||CDBBAAC, 10000000
..DB...DDBAA.ACC||CDBBA.C, 10000000
..DB...DDBAA.ACC||CDBB.AC, 10000000
..DB...DDBAAAACC||CDBB..C, 10000000
...B...BDBAA.ACC||CDDDBAC, 10000000
...B...BDBAAAACC||CDDDB.C, 10000000
..DB...BDBAA.ACC||CD.DBAC, 10000000
..DB...BDBAAAACC||CD.DB.C, 10000000
..DB....DBAA.ACC||CDBDBAC, 10000000
..DB....DBAAAACC||CDBDB.C, 10000000
..DB...D.BAA.ACC||CDBDBAC, 10000000
..DB...D.BAAAACC||CDBDB.C, 10000000
..DB...DDBAA.ACC||CDB.BAC, 10000000
..DB...DDBAAAACC||CDB.B.C, 10000000
...B...B.BAAAACC||CDDDDBC, 10000000
...B...BDBAA.ACC||CDDDABC, 10000000
...B...BDBAAAACC||CDDD.BC, 10000000
..DB...B.BAAAACC||CD.DDBC, 10000000
..DB...BDBAA.ACC||CD.DABC, 10000000
..DB...BDBAAAACC||CD.D.BC, 10000000
..DB.....BAAAACC||CDBDDBC, 10000000
..DB....DBAA.ACC||CDBDABC, 10000000
..DB....DBAAAACC||CDBD.BC, 10000000
...B...BDBAAAACC||CDD.DBC, 10000000
......BBDBAAAACC||CD.DDBC, 10000000
...B...BDBAAAACC||CD.DDBC, 10000000
..DB..BB...AAACC||CDDADBC, 10000000
..DB..BB..AAAACC||CDD.DBC, 10000000
..DB...B.BAAAACC||CDD.DBC, 10000000
..DB...BDBAAAACC||CD..DBC, 10000000
..DB....DBAAAACC||CDB.DBC, 10000000
..DB...D..AAAACC||CDBDBBC, 10000000
..DB...D.BAA.ACC||CDBDABC, 10000000
..DB...D.BAAAACC||CDBD.BC, 10000000
..DB...D..AAAACC||CDBBDBC, 10000000
..DB...D.BAAAACC||CDB.DBC, 10000000
..DB...D.BAA.ACC||CDBADBC, 10000000
..DB...DDBAA..CC||CDBAABC, 10000000
..DB...DDBAA.ACC||CDBA.BC, 10000000
..DB...DDBAA.ACC||CDB.ABC, 10000000
..DB...DDBAAAACC||CDB..BC, 10000000
..DB..BD..AA.ACC||CDBDBAC, 10000000
..DB..BD..AAAACC||CDBDB.C, 10000000
..DB..BD...AAACC||CDBDABC, 10000000
..DB..BD..AA.ACC||CDBDABC, 10000000
..DB..BD..AAAACC||CDBD.BC, 10000000
..DB..BD.BAA..CC||CDBDAAC, 10000000
